Month,Weekly_Sales
3.0,13876.5
3.0,41892.55
3.0,19105.92
3.0,26229.21
3.0,59159.95
3.0,11310.4
3.0,35431.73
3.0,113117.35
3.0,29871.06
3.0,14385.66
3.0,12832.47
3.0,27897.97
3.0,16254.21
3.0,17592.13
3.0,10604.88
3.0,10063.69
3.0,16803.77
3.0,38971.89
3.0,11865.53
3.0,40796.33
3.0,55082.4
3.0,57837.28
3.0,95855.41
3.0,31406.96
3.0,16479.16
3.0,116688.75
3.0,23926.34
3.0,71666.24
4.0,47450.5
4.0,13435.38
4.0,11157.08
4.0,22427.62
4.0,12755.33
4.0,40910.94
4.0,50079.67
4.0,38104.53
4.0,25435.02
4.0,46060.69
4.0,37809.49
4.0,14810.01
4.0,32893.64
4.0,10625.15
4.0,111466.37
4.0,17916.41
4.0,57258.43
4.0,13928.36
4.0,14964.5
4.0,12033.5
4.0,10282.66
4.0,30149.2
4.0,21762.46
4.0,63245.0
4.0,18666.57
4.0,14333.75
4.0,62278.04
4.0,126907.41
4.0,29967.92
4.0,57845.36
4.0,101566.87
4.0,38151.58
4.0,77280.42
4.0,66172.11
4.0,29649.34
4.0,31794.04
4.0,14740.14
4.0,19053.49
4.0,17695.89
4.0,37815.5
4.0,10179.29
,52976.67
,13863.66
,10895.18
,42960.91
,26113.67
,37638.44
4.0,129466.97
4.0,18516.45
4.0,98689.46
4.0,116770.82
4.0,46549.73
4.0,66795.56
4.0,12874.07
4.0,59141.39
4.0,29922.64
4.0,32544.27
4.0,16418.64
4.0,21678.02
4.0,69441.1
4.0,20516.64
4.0,43346.92
4.0,10109.0
4.0,30023.4
4.0,34145.96
4.0,11185.09
4.0,12217.58
4.0,12906.0
4.0,32486.28
4.0,22186.81
4.0,36174.43
4.0,60177.2
4.0,17678.66
4.0,75592.52
4.0,17682.48
4.0,13987.13
4.0,33866.82
4.0,12360.85
4.0,45025.02
4.0,31171.25
4.0,59543.22
4.0,36663.26
4.0,11570.27
4.0,19811.02
4.0,12309.14
4.0,13632.64
4.0,128626.08
4.0,19330.26
4.0,67716.6
4.0,126341.84
4.0,10791.63
4.0,58400.17
4.0,28782.86
4.0,11187.99
4.0,28518.47
4.0,16347.63
4.0,77602.0
4.0,32135.69
4.0,16566.09
4.0,32890.54
4.0,67420.53
4.0,38711.22
4.0,17596.96
4.0,19991.95
4.0,34740.19
4.0,73155.28
4.0,63631.89
4.0,32134.61
4.0,17394.72
4.0,15583.62
4.0,11295.45
4.0,12738.26
4.0,42222.53
4.0,110204.77
4.0,12749.37
4.0,12504.5
4.0,36058.1
4.0,44418.11
4.0,19377.76
4.0,10156.01
4.0,29464.0
4.0,18534.4
4.0,17349.9
4.0,30756.13
4.0,51604.72
4.0,60764.62
4.0,58623.36
4.0,11556.42
4.0,16145.35
4.0,55781.92
4.0,11082.83
4.0,16204.99
4.0,17825.26
4.0,24664.06
4.0,111703.46
4.0,24763.98
4.0,56051.87
4.0,28230.72
4.0,32946.13
4.0,27455.91
4.0,29091.15
4.0,33806.71
4.0,13262.63
4.0,68521.99
4.0,87205.88
4.0,14283.64
4.0,48858.08
4.0,16555.11
4.0,36717.2
4.0,24035.42
4.0,107648.14
4.0,11435.6
4.0,12172.32
4.0,31240.73
4.0,30450.45
4.0,18274.46
4.0,45971.3
4.0,11439.61
4.0,60744.62
4.0,38131.53
4.0,10651.84
4.0,10679.49
4.0,10712.5
4.0,34168.23
4.0,57805.71
4.0,22723.48
4.0,20001.75
4.0,55901.42
4.0,127811.89
4.0,29095.46
4.0,10546.89
4.0,33437.8
4.0,109579.6
4.0,22006.41
4.0,55068.72
4.0,30666.59
4.0,13879.7
4.0,28836.25
4.0,67584.03
4.0,17115.38
4.0,18120.31
5.0,40113.4
5.0,17413.94
5.0,27588.34
5.0,14460.84
5.0,125592.28
5.0,52933.2
5.0,11062.66
5.0,67595.65
5.0,14878.8
5.0,70383.0
5.0,47903.01
5.0,32902.69
5.0,61099.85
5.0,41094.12
5.0,44039.92
5.0,22172.27
5.0,11805.33
5.0,37168.34
5.0,19219.2
5.0,76733.25
5.0,31614.83
5.0,15135.17
5.0,34449.36
5.0,17902.17
5.0,11085.84
5.0,35393.78
5.0,15356.54
5.0,19260.44
5.0,11446.25
5.0,39104.1
5.0,20457.62
5.0,28928.31
5.0,107634.21
5.0,132217.62
5.0,12761.39
5.0,10972.91
5.0,17893.1
5.0,66019.35
5.0,78903.78
5.0,120247.9
5.0,19986.37
5.0,29631.17
5.0,12803.67
5.0,43675.61
5.0,54394.6
5.0,35355.34
5.0,18926.74
5.0,36499.93
5.0,18294.5
5.0,33131.69
5.0,34298.89
5.0,23301.17
5.0,10565.14
5.0,68273.13
5.0,73925.66
5.0,16891.66
5.0,44148.02
5.0,14678.22
5.0,91179.51
5.0,33943.35
5.0,10266.86
5.0,17814.39
5.0,18771.35
5.0,126004.12
5.0,14806.08
5.0,30719.18
5.0,64325.26
5.0,33657.7
5.0,11247.0
5.0,18715.88
5.0,16167.09
5.0,25385.09
5.0,26568.32
5.0,12519.08
5.0,13934.33
5.0,20697.6
5.0,12395.06
5.0,28081.1
5.0,14773.04
5.0,38569.83
5.0,10848.88
5.0,44319.15
5.0,16157.17
5.0,34442.73
5.0,12235.62
5.0,10502.54
5.0,11480.15
5.0,59289.04
5.0,60163.57
5.0,17328.64
5.0,53707.85
5.0,27798.19
5.0,57772.04
5.0,80273.34
5.0,27266.41
5.0,35571.47
5.0,11805.5
5.0,30922.75
5.0,18845.98
5.0,38638.64
5.0,30190.72
5.0,31165.21
5.0,14001.84
5.0,28726.86
5.0,14381.02
5.0,10477.58
5.0,32975.76
5.0,120036.99
5.0,117117.65
5.0,26197.6
5.0,71026.5
5.0,15784.6
5.0,35046.1
5.0,17229.66
5.0,10256.27
5.0,36911.59
5.0,38347.52
5.0,60155.18
5.0,15580.43
5.0,12218.11
5.0,11711.59
5.0,87937.0
5.0,44619.52
5.0,53686.79
5.0,36380.36
5.0,28638.96
5.0,11876.34
5.0,31378.88
5.0,13976.83
5.0,28195.06
5.0,30171.25
5.0,14905.3
5.0,121902.19
5.0,70245.24
5.0,11445.67
5.0,56109.3
5.0,58985.55
5.0,11229.88
5.0,23409.56
5.0,29811.88
5.0,32034.24
5.0,28393.85
5.0,30894.79
5.0,45861.03
5.0,111704.67
5.0,19693.66
5.0,10033.06
6.0,35181.47
6.0,12515.03
6.0,12881.32
6.0,17558.09
6.0,48754.47
6.0,41388.81
6.0,22932.26
6.0,71718.04
6.0,133056.97
6.0,44563.68
6.0,16317.32
6.0,14491.35
6.0,64495.92
6.0,36263.69
6.0,42732.59
6.0,16789.53
6.0,30186.24
6.0,47485.63
6.0,38638.6
6.0,35109.14
6.0,59985.57
6.0,13504.5
6.0,22445.36
6.0,76433.03
6.0,20519.54
6.0,34227.73
6.0,38128.15
6.0,58507.93
6.0,10994.44
6.0,96137.67
6.0,40548.19
6.0,36317.39
6.0,126058.88
6.0,28857.18
6.0,13358.92
6.0,26910.46
6.0,64201.0
6.0,30813.12
6.0,26806.72
6.0,14347.95
6.0,13923.38
6.0,39657.1
6.0,14514.85
6.0,37297.1
6.0,16637.62
6.0,74300.41
6.0,36579.96
6.0,31807.72
6.0,34036.53
6.0,13516.74
6.0,34934.23
6.0,10889.4
6.0,34564.68
6.0,70982.33
6.0,21817.36
6.0,28149.18
6.0,11220.75
6.0,26789.3
6.0,54805.3
6.0,15921.66
6.0,11594.04
6.0,24072.22
6.0,134711.49
6.0,105539.53
6.0,20377.63
6.0,47089.54
6.0,41297.84
6.0,78256.58
6.0,10784.84
6.0,18551.52
6.0,131995.0
6.0,66093.15
6.0,39165.29
6.0,34807.01
6.0,33387.48
6.0,69326.03
6.0,36307.14
6.0,12132.61
6.0,12869.0
6.0,15898.96
6.0,35059.52
6.0,29943.17
6.0,35133.09
6.0,12693.5
6.0,66420.45
6.0,16216.27
6.0,24934.43
6.0,53618.54
6.0,11629.41
6.0,26984.25
6.0,86860.94
6.0,44428.71
6.0,18936.81
6.0,43244.02
6.0,34603.43
6.0,19778.44
6.0,10764.54
6.0,12443.97
6.0,30070.24
6.0,126911.43
6.0,134118.05
6.0,27795.85
6.0,10119.0
6.0,32177.66
6.0,77651.52
6.0,17940.03
6.0,31260.27
6.0,29521.94
6.0,12528.26
6.0,13005.0
6.0,39460.59
6.0,28912.18
6.0,12979.99
6.0,11758.06
6.0,38697.24
6.0,19054.58
6.0,10562.29
6.0,34454.69
6.0,79026.15
6.0,16328.72
6.0,34040.35
6.0,13454.31
6.0,24514.39
6.0,27966.9
6.0,110276.03
6.0,10956.25
6.0,51298.1
6.0,42363.96
6.0,61964.14
6.0,34121.08
6.0,12132.76
6.0,10498.22
6.0,31667.6
6.0,73325.44
6.0,27161.66
6.0,11254.16
6.0,56665.73
6.0,33731.24
6.0,45299.92
6.0,20309.52
6.0,120172.47
6.0,17824.37
6.0,57418.46
7.0,11466.06
7.0,33726.13
7.0,56751.6
7.0,14864.7
7.0,37745.99
7.0,23137.32
7.0,22589.0
7.0,42866.79
7.0,32420.4
7.0,21032.55
7.0,29779.96
7.0,19082.57
7.0,11393.34
7.0,10504.25
7.0,47077.72
7.0,26880.74
7.0,41214.94
7.0,18887.71
7.0,59462.22
7.0,78602.71
7.0,16333.14
7.0,35580.01
7.0,39773.71
7.0,36242.12
7.0,18581.75
7.0,10139.42
7.0,100958.25
7.0,124821.44
7.0,11627.5
7.0,69962.56
7.0,13494.79
7.0,10720.79
7.0,77414.63
7.0,15032.03
7.0,54315.84
7.0,33515.6
7.0,11287.52
7.0,38404.83
7.0,35320.41
7.0,19092.69
7.0,64929.24
7.0,78068.53
7.0,27604.86
7.0,22767.34
7.0,15358.43
7.0,20249.54
7.0,46752.12
7.0,68003.36
7.0,33138.28
7.0,15996.89
7.0,32226.46
7.0,34721.25
7.0,27298.6
7.0,17688.76
7.0,133820.17
7.0,35796.64
7.0,41056.4
7.0,11898.06
7.0,33614.93
7.0,10987.53
7.0,87346.14
7.0,11345.7
7.0,22121.47
7.0,19259.43
7.0,34523.84
7.0,10287.0
7.0,126241.2
7.0,39781.45
7.0,54176.59
7.0,10239.51
7.0,30200.62
7.0,40150.0
7.0,13751.3
7.0,17918.22
7.0,13550.19
7.0,19092.63
7.0,33171.72
7.0,65960.35
7.0,66316.42
7.0,31341.38
7.0,35429.54
7.0,44339.2
7.0,126469.77
7.0,35072.17
7.0,60224.73
7.0,27781.28
7.0,22666.55
7.0,71934.19
7.0,12663.38
7.0,29250.38
7.0,80431.55
7.0,31829.94
7.0,32796.05
7.0,13884.6
7.0,10391.77
7.0,18118.18
7.0,29763.52
7.0,17150.84
7.0,10174.33
7.0,11928.01
7.0,121386.73
7.0,19234.02
7.0,35234.66
7.0,15660.62
7.0,16545.46
7.0,11945.81
7.0,17313.46
7.0,40552.37
7.0,58125.31
7.0,115276.81
7.0,28636.43
7.0,16930.62
7.0,59219.34
7.0,32544.27
7.0,11743.8
7.0,20029.1
7.0,31706.54
7.0,34350.12
7.0,16361.87
7.0,59855.9
7.0,66892.44
7.0,32929.9
7.0,30078.61
7.0,52239.9
7.0,44763.33
7.0,71207.64
7.0,33638.52
7.0,29353.14
7.0,36624.71
7.0,28115.79
7.0,24642.3
7.0,14280.47
7.0,19079.5
7.0,12416.75
7.0,116256.35
7.0,15360.45
7.0,17424.93
7.0,20200.65
7.0,15771.6
7.0,16472.48
7.0,29315.71
7.0,33568.19
7.0,11634.37
7.0,15881.65
7.0,55362.08
7.0,12421.92
7.0,45833.77
7.0,27202.87
7.0,57827.97
7.0,52943.16
7.0,36419.68
7.0,26789.66
7.0,17709.46
7.0,31662.07
7.0,20915.95
7.0,29275.56
7.0,39298.49
7.0,13693.26
7.0,38018.99
7.0,109943.02
7.0,108781.57
7.0,29613.51
7.0,18959.82
7.0,36106.41
7.0,22017.61
7.0,76542.81
7.0,15166.99
7.0,69626.13
7.0,12104.31
7.0,18044.49
7.0,56893.45
7.0,20456.24
7.0,15381.82
8.0,37436.74
8.0,11091.06
8.0,42038.03
8.0,31201.67
8.0,10293.02
8.0,26719.02
8.0,57414.42
8.0,40973.88
8.0,18429.47
8.0,68302.1
8.0,34833.35
8.0,69274.95
8.0,14404.15
8.0,65856.36
8.0,12887.52
8.0,43224.38
8.0,16926.17
8.0,50031.73
8.0,14102.24
8.0,21842.57
8.0,39070.7
8.0,19224.82
8.0,37289.02
8.0,17325.53
8.0,93809.75
8.0,22200.83
8.0,31233.67
8.0,47141.7
8.0,35078.09
8.0,131128.96
8.0,78840.85
8.0,19380.82
8.0,10210.44
8.0,24218.72
8.0,17508.41
8.0,136852.18
8.0,11454.96
8.0,15544.62
8.0,37470.84
8.0,10872.75
8.0,52672.69
8.0,69486.59
8.0,30640.54
8.0,66025.47
8.0,12236.16
8.0,16914.11
8.0,37869.12
8.0,30250.16
8.0,32326.19
8.0,30376.79
8.0,29938.23
8.0,131288.83
8.0,29307.77
8.0,42051.15
8.0,78915.6
8.0,16193.2
8.0,19178.36
8.0,32838.77
8.0,13579.21
8.0,76608.54
8.0,45475.69
8.0,11488.27
8.0,23288.59
8.0,73460.08
8.0,18684.26
8.0,36461.66
8.0,132948.33
8.0,16742.12
8.0,15536.4
8.0,20503.99
8.0,31271.9
8.0,10074.71
8.0,11884.61
8.0,13294.0
8.0,33496.7
8.0,62615.88
8.0,10592.72
8.0,29172.25
8.0,41509.62
8.0,13260.23
8.0,10751.74
8.0,61192.75
8.0,32249.35
8.0,31789.86
8.0,39706.1
8.0,41101.93
8.0,53735.68
8.0,70299.21
8.0,17223.95
8.0,62691.49
8.0,35527.92
8.0,49754.17
8.0,14881.25
8.0,10119.6
8.0,72447.85
8.0,28801.37
8.0,120613.35
8.0,22837.21
8.0,10173.93
8.0,124601.48
8.0,28518.24
8.0,15412.44
8.0,17821.71
8.0,15204.72
8.0,16702.11
8.0,15740.13
8.0,44878.45
8.0,21062.68
8.0,10421.34
8.0,16678.75
8.0,26519.58
8.0,11546.03
8.0,34848.72
8.0,10160.03
8.0,18042.55
8.0,41175.86
8.0,10036.31
8.0,13387.21
8.0,53819.66
8.0,28990.87
8.0,34298.59
8.0,36404.6
8.0,49623.53
8.0,60797.36
8.0,11156.75
8.0,51159.17
8.0,31655.17
8.0,21282.09
8.0,69272.76
8.0,13570.32
8.0,114325.82
8.0,19682.2
8.0,26519.68
8.0,55448.05
8.0,117929.58
8.0,31272.68
8.0,11259.78
8.0,16309.44
8.0,31692.56
8.0,56957.43
8.0,16489.07
8.0,10532.33
8.0,19860.51
8.0,36690.76
8.0,27605.17
8.0,77852.74
8.0,15089.91
8.0,18845.23
8.0,10581.34
8.0,28311.76
8.0,15793.87
8.0,13828.44
8.0,14737.16
8.0,16038.14
9.0,13995.39
9.0,17303.3
9.0,60555.12
9.0,22888.26
9.0,44863.15
9.0,19081.8
9.0,48940.83
9.0,10118.25
9.0,33457.07
9.0,64285.98
9.0,39639.39
9.0,90990.93
9.0,16241.78
9.0,11239.43
9.0,130199.04
9.0,124220.1
9.0,39538.08
9.0,68070.49
9.0,49015.05
9.0,36014.75
9.0,13015.08
9.0,18005.65
9.0,38321.88
9.0,35562.68
9.0,43630.1
9.0,11691.33
9.0,64708.91
9.0,15390.52
9.0,79049.67
9.0,10282.67
9.0,19045.76
9.0,30199.35
9.0,19146.83
9.0,28420.73
9.0,16173.15
9.0,18797.69
9.0,59179.16
9.0,45182.5
9.0,16107.93
9.0,12134.69
9.0,10724.56
9.0,74834.54
9.0,38996.39
9.0,22643.73
9.0,34512.69
9.0,39921.6
9.0,134373.61
9.0,12884.22
9.0,32256.12
9.0,64872.11
9.0,39525.93
9.0,78481.32
9.0,10138.47
9.0,16086.08
9.0,125027.49
9.0,11125.38
9.0,78235.77
9.0,20824.49
9.0,18400.52
9.0,44555.16
9.0,18194.74
9.0,32404.72
9.0,30035.78
9.0,11146.79
9.0,17349.06
9.0,17776.56
9.0,32737.89
9.0,68960.79
9.0,40143.87
9.0,36603.78
9.0,16198.34
9.0,31291.01
9.0,60505.14
9.0,25585.71
9.0,13783.27
9.0,66229.7
9.0,44681.64
9.0,35442.67
9.0,19354.23
9.0,17672.01
9.0,68491.35
9.0,15589.89
9.0,76162.38
9.0,129176.82
9.0,10722.46
9.0,56516.67
9.0,124372.9
9.0,13938.16
9.0,16773.5
9.0,10745.44
9.0,74851.3
9.0,17397.01
9.0,38416.22
9.0,43582.89
9.0,16553.48
9.0,10739.64
9.0,29212.99
9.0,28481.77
9.0,12760.14
9.0,28747.53
9.0,37790.47
9.0,15862.61
9.0,17499.58
9.0,33762.32
9.0,33999.01
9.0,14457.98
9.0,11847.72
9.0,110184.21
9.0,54232.52
9.0,14857.74
9.0,57245.19
9.0,13060.87
9.0,29097.1
9.0,15671.19
9.0,18122.52
9.0,27292.08
9.0,55407.67
9.0,39528.86
9.0,15994.65
9.0,10450.29
9.0,31177.11
9.0,37293.43
9.0,36673.43
9.0,42477.49
9.0,69826.6
9.0,16215.81
9.0,17168.59
9.0,87720.98
9.0,31381.97
9.0,27585.27
9.0,114702.69
9.0,18227.39
9.0,57661.06
9.0,17039.38
9.0,26864.57
9.0,32497.43
9.0,15325.49
10.0,118966.9
10.0,20094.19
10.0,57022.45
10.0,17058.26
10.0,16248.15
10.0,18377.92
10.0,31074.81
10.0,16227.08
10.0,10344.16
10.0,58034.24
10.0,12943.86
10.0,46866.41
10.0,58625.28
10.0,29764.24
10.0,10911.03
10.0,20110.05
10.0,112126.81
10.0,32954.82
10.0,39017.88
10.0,10672.47
10.0,45829.02
10.0,56157.83
10.0,40474.22
10.0,34658.25
10.0,28460.62
10.0,16481.79
10.0,23381.38
10.0,44977.91
10.0,73315.81
10.0,15460.88
10.0,113009.41
10.0,34912.45
10.0,27930.71
10.0,23388.03
10.0,10343.22
10.0,68156.49
10.0,11414.81
10.0,138866.0
10.0,10195.94
10.0,19605.53
10.0,10103.94
10.0,10845.93
10.0,30734.05
10.0,42895.54
10.0,22254.42
10.0,18378.25
10.0,11883.66
10.0,10081.8
10.0,37839.71
10.0,30051.47
10.0,35836.59
10.0,22280.97
10.0,37770.25
10.0,59429.87
10.0,60790.29
10.0,73532.13
,42139.25
,12108.86
,10543.31
,10294.64
10.0,35966.67
10.0,78810.39
10.0,16350.96
10.0,73963.61
10.0,11501.93
10.0,46387.54
10.0,35772.82
10.0,19853.57
10.0,120764.22
10.0,16474.09
10.0,29979.34
10.0,25795.25
10.0,133453.67
10.0,11173.48
10.0,11031.93
10.0,11695.24
10.0,32288.91
10.0,16713.94
10.0,35440.08
10.0,21079.88
10.0,17361.19
10.0,26978.34
10.0,32775.14
10.0,67012.06
10.0,13215.64
10.0,33747.68
10.0,38436.02
10.0,38749.62
10.0,43110.79
10.0,55682.39
10.0,59131.49
10.0,10663.59
10.0,16296.65
10.0,73027.2
10.0,17717.02
10.0,17350.62
10.0,72397.15
10.0,29799.61
10.0,30490.19
10.0,31226.99
10.0,11526.6
10.0,30847.4
10.0,34693.27
10.0,20443.05
10.0,123510.99
10.0,78665.06
10.0,115463.1
10.0,10345.97
10.0,55953.41
10.0,30302.47
10.0,34301.02
10.0,20808.34
10.0,32393.82
10.0,11710.03
10.0,11604.42
10.0,37976.64
10.0,25543.04
10.0,17609.38
10.0,16165.56
10.0,16832.19
10.0,15395.27
10.0,34712.4
10.0,32659.74
10.0,19525.85
10.0,42371.48
10.0,11895.44
10.0,14968.65
10.0,27483.45
10.0,28439.7
10.0,58959.85
10.0,71814.32
10.0,53704.97
10.0,10390.81
10.0,26805.78
10.0,69060.72
10.0,54444.19
10.0,32902.26
10.0,110052.15
10.0,31057.77
10.0,18038.28
10.0,34596.86
10.0,20957.34
10.0,116370.47
10.0,17598.98
10.0,40137.15
10.0,32281.74
10.0,12769.66
10.0,38640.93
10.0,25548.97
10.0,31330.47
10.0,34917.77
10.0,16377.46
10.0,16666.41
10.0,27408.24
10.0,37762.12
10.0,35202.44
10.0,44081.33
10.0,11955.77
10.0,22455.8
10.0,19134.38
10.0,10949.11
10.0,70733.35
10.0,15570.63
10.0,54154.79
10.0,70851.19
10.0,56830.05
10.0,13129.49
10.0,54463.34
10.0,55868.01
10.0,25464.1
10.0,27262.22
10.0,105793.4
11.0,38960.78
11.0,48794.36
11.0,140504.41
11.0,35669.19
11.0,53902.35
11.0,19136.58
11.0,41085.66
11.0,23903.81
11.0,12338.25
11.0,34238.88
11.0,10713.05
11.0,13601.15
11.0,14092.03
11.0,37980.55
11.0,21850.85
11.0,18063.45
11.0,77547.67
11.0,77903.38
11.0,28962.33
11.0,11084.68
11.0,39589.08
11.0,12562.6
11.0,15412.29
11.0,60344.73
11.0,12033.61
11.0,36182.58
11.0,25063.26
11.0,46381.43
11.0,26416.48
11.0,69542.18
11.0,31543.83
11.0,10107.0
11.0,27824.48
11.0,53352.96
11.0,110332.92
11.0,62762.19
11.0,36817.35
11.0,39369.0
11.0,29531.38
11.0,144909.63
11.0,11137.4
11.0,11313.89
11.0,44777.94
11.0,17690.36
11.0,19549.39
11.0,21019.7
11.0,36255.13
11.0,11433.3
11.0,16218.9
11.0,77214.95
11.0,21473.78
11.0,52564.16
11.0,37167.49
11.0,65468.22
11.0,21880.47
11.0,29813.66
11.0,23698.89
11.0,10234.34
11.0,35527.64
11.0,43194.49
11.0,13837.16
11.0,26288.47
11.0,21370.42
11.0,35008.03
11.0,15510.94
11.0,79428.8
11.0,28019.2
11.0,82395.79
11.0,59117.63
11.0,10447.25
11.0,110209.31
11.0,79474.21
11.0,157621.22
11.0,38446.26
11.0,34043.14
11.0,10675.61
11.0,15020.49
11.0,32072.93
11.0,16465.14
11.0,41443.25
11.0,10086.41
11.0,20964.18
11.0,19552.84
11.0,23243.67
11.0,15807.45
11.0,37078.61
11.0,28073.27
11.0,10469.5
11.0,62166.33
11.0,24313.72
11.0,35759.26
11.0,73121.25
11.0,26066.48
11.0,24137.46
11.0,55213.82
11.0,27561.57
11.0,81642.89
11.0,29383.02
11.0,107544.02
11.0,34756.36
11.0,16193.03
11.0,14059.26
11.0,23106.93
11.0,58214.46
11.0,19788.98
11.0,24716.49
11.0,32756.5
11.0,10290.44
11.0,18820.29
11.0,10706.81
11.0,18640.46
11.0,33967.24
11.0,45681.98
11.0,55973.77
11.0,81660.77
11.0,30865.64
11.0,44504.17
11.0,13337.59
11.0,34099.53
11.0,46201.27
11.0,20163.69
11.0,196810.42
11.0,24770.41
11.0,91012.78
11.0,15769.67
11.0,28754.58
11.0,170904.79
11.0,19282.0
11.0,106015.41
11.0,30448.4
11.0,34927.63
11.0,11918.3
11.0,61809.29
11.0,38371.99
11.0,29147.2
11.0,11915.5
11.0,70158.86
11.0,17295.5
11.0,10593.12
11.0,72635.06
11.0,16373.34
11.0,17693.74
11.0,31090.69
11.0,40817.18
11.0,33328.17
